iter,after_test,test_sec,gap_sec,stale_bs_test
21,bs_test_reload_per_batch_parallel_exec,0.04,0,
21,bs_test_day19_stress_reload_loop,25.05,0.001,
21,bs_test_day19_stress_fail_ci,25.05,0,
21,bs_test_attach_day19_shortcoming_regression,5.73,0.001,
21,bs_test_attach_recover_cold,0.06,0,
22,bs_test_reload_per_batch_parallel_exec,0.04,0,
22,bs_test_day19_stress_reload_loop,25.05,0.001,
22,bs_test_day19_stress_fail_ci,25.05,0.002,
22,bs_test_attach_day19_shortcoming_regression,5.84,0.001,
22,bs_test_attach_recover_cold,0.06,0,
23,bs_test_reload_per_batch_parallel_exec,0.04,0,
23,bs_test_day19_stress_reload_loop,25.04,0.001,
23,bs_test_day19_stress_fail_ci,25.05,0,
23,bs_test_attach_day19_shortcoming_regression,5.65,0.001,
23,bs_test_attach_recover_cold,0.06,0,
24,bs_test_reload_per_batch_parallel_exec,0.04,0,
24,bs_test_day19_stress_reload_loop,25.05,0,
24,bs_test_day19_stress_fail_ci,25.05,0.001,
24,bs_test_attach_day19_shortcoming_regression,6.12,0,
24,bs_test_attach_recover_cold,0.06,0,
25,bs_test_reload_per_batch_parallel_exec,0.05,0,
25,bs_test_day19_stress_reload_loop,25.05,0.001,
25,bs_test_day19_stress_fail_ci,25.05,0.001,
25,bs_test_attach_day19_shortcoming_regression,5.59,0.001,
25,bs_test_attach_recover_cold,0.06,0,
26,bs_test_reload_per_batch_parallel_exec,0.04,0,
26,bs_test_day19_stress_reload_loop,25.05,0,
26,bs_test_day19_stress_fail_ci,25.06,0.001,
26,bs_test_attach_day19_shortcoming_regression,6.1,0,
26,bs_test_attach_recover_cold,0.06,0,
27,bs_test_reload_per_batch_parallel_exec,0.04,0,
27,bs_test_day19_stress_reload_loop,25.04,0.001,
27,bs_test_day19_stress_fail_ci,25.04,0.001,
27,bs_test_attach_day19_shortcoming_regression,5.64,0,
27,bs_test_attach_recover_cold,0.06,0.001,
28,bs_test_reload_per_batch_parallel_exec,0.04,0,
28,bs_test_day19_stress_reload_loop,25.05,0,
28,bs_test_day19_stress_fail_ci,25.05,0.001,
28,bs_test_attach_day19_shortcoming_regression,5.64,0.001,
28,bs_test_attach_recover_cold,0.07,0.001,
29,bs_test_reload_per_batch_parallel_exec,0.04,0,
29,bs_test_day19_stress_reload_loop,25.05,0.001,
29,bs_test_day19_stress_fail_ci,25.04,0.001,
29,bs_test_attach_day19_shortcoming_regression,4.95,0.001,
29,bs_test_attach_recover_cold,0.07,0.001,
30,bs_test_reload_per_batch_parallel_exec,0.55,0,
30,bs_test_day19_stress_reload_loop,25.04,0,
30,bs_test_day19_stress_fail_ci,25.05,0,
30,bs_test_attach_day19_shortcoming_regression,4.82,0.001,
30,bs_test_attach_recover_cold,0.06,0.001,
31,bs_test_reload_per_batch_parallel_exec,0.04,0,
31,bs_test_day19_stress_reload_loop,25.05,0,
31,bs_test_day19_stress_fail_ci,25.04,0,
31,bs_test_attach_day19_shortcoming_regression,6.05,0.001,
31,bs_test_attach_recover_cold,0.06,0.001,
32,bs_test_reload_per_batch_parallel_exec,0.04,0,
32,bs_test_day19_stress_reload_loop,25.04,0,
32,bs_test_day19_stress_fail_ci,25.04,0.002,
32,bs_test_attach_day19_shortcoming_regression,6.32,0.001,
32,bs_test_attach_recover_cold,0.07,0.002,
33,bs_test_reload_per_batch_parallel_exec,0.04,0,
33,bs_test_day19_stress_reload_loop,25.04,0.001,
33,bs_test_day19_stress_fail_ci,25.04,0,
33,bs_test_attach_day19_shortcoming_regression,4.97,0,
33,bs_test_attach_recover_cold,0.06,0,
34,bs_test_reload_per_batch_parallel_exec,0.04,0,
34,bs_test_day19_stress_reload_loop,25.05,0,
34,bs_test_day19_stress_fail_ci,25.05,0.001,
34,bs_test_attach_day19_shortcoming_regression,5.49,0.001,
34,bs_test_attach_recover_cold,0.06,0,
35,bs_test_reload_per_batch_parallel_exec,0.04,0,
35,bs_test_day19_stress_reload_loop,25.04,0.001,
35,bs_test_day19_stress_fail_ci,25.05,0.001,
35,bs_test_attach_day19_shortcoming_regression,6.02,0.001,
35,bs_test_attach_recover_cold,0.07,0.001,
36,bs_test_reload_per_batch_parallel_exec,0.04,0.001,
36,bs_test_day19_stress_reload_loop,25.05,0.002,
36,bs_test_day19_stress_fail_ci,25.05,0.001,
36,bs_test_attach_day19_shortcoming_regression,6.19,0,
36,bs_test_attach_recover_cold,0.07,0,
37,bs_test_reload_per_batch_parallel_exec,0.04,0,
37,bs_test_day19_stress_reload_loop,25.05,0.001,
37,bs_test_day19_stress_fail_ci,25.06,0.001,
37,bs_test_attach_day19_shortcoming_regression,5.73,0,
37,bs_test_attach_recover_cold,0.07,0,
38,bs_test_reload_per_batch_parallel_exec,0.04,0.001,
38,bs_test_day19_stress_reload_loop,25.04,0,
